depth,seed_id,comparison_type,history_a,replicate_a,history_b,replicate_b,distance
256,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.020779
256,seed_202,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.109587
256,seed_202,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.10182
256,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.113173
256,seed_303,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.119374
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.342402
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.294173
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.347849
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,0,0.587909
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,1,0.653306
256,seed_303,BETWEEN_HISTORY,H_ALPHA,0,H_GAMMA,2,0.608645
256,seed_303,WITHIN_HISTORY,H_ALPHA,1,H_ALPHA,2,0.045898
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,0,0.412164
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,1,0.372257
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_BETA,2,0.426274
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,0,0.677724
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,1,0.739647
256,seed_303,BETWEEN_HISTORY,H_ALPHA,1,H_GAMMA,2,0.700536
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,0,0.378876
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,1,0.342586
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_BETA,2,0.395987
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,0,0.650771
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,1,0.710781
256,seed_303,BETWEEN_HISTORY,H_ALPHA,2,H_GAMMA,2,0.674586
256,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,1,0.056509
256,seed_303,WITHIN_HISTORY,H_BETA,0,H_BETA,2,0.040681
256,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,0,0.286218
256,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,1,0.33795
256,seed_303,BETWEEN_HISTORY,H_BETA,0,H_GAMMA,2,0.313809
256,seed_303,WITHIN_HISTORY,H_BETA,1,H_BETA,2,0.05421
256,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,0,0.309378
256,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,1,0.368195
256,seed_303,BETWEEN_HISTORY,H_BETA,1,H_GAMMA,2,0.334506
256,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,0,0.258297
256,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,1,0.315086
256,seed_303,BETWEEN_HISTORY,H_BETA,2,H_GAMMA,2,0.284482
256,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,1,0.072627
256,seed_303,WITHIN_HISTORY,H_GAMMA,0,H_GAMMA,2,0.030366
256,seed_303,WITHIN_HISTORY,H_GAMMA,1,H_GAMMA,2,0.071418
256,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,1,0.066567
256,seed_404,WITHIN_HISTORY,H_ALPHA,0,H_ALPHA,2,0.015742
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,0,0.323034
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,1,0.289923
256,seed_404,BETWEEN_HISTORY,H_ALPHA,0,H_BETA,2,0.312481
